nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,EtisktEtikett,Koscher,RavarorBeskrivning
9045801,1118802,90458,Cuvée Laurence,Gewurztraminer,379.00,,750.00,505.33,2017/02/17,0,Vitt vin,Druvigt & Blommigt,,Flaska,Naturkork,Alsace,Frankrike,Domaine Weinbach,Prime Wine Sweden AB,2015,,13.50%,TSE,Små partier,0,0,,0,Gewurztraminer.
8744401,1118805,87444,Rhum Bielle,Small Batch,2464.00,,700.00,3520.00,2016/08/05,0,Rom,Mörk,,Flaska,,Guadeloupe,Frankrike,Distillerie Bielle,Clydesdale AB,2001,,45.00%,BS,Övrigt sortiment,0,0,,0,
9204101,1118808,92041,Riesling Schlossberg,Grand Cru,429.00,,750.00,572.00,2017/02/03,0,Vitt vin,,,Flaska,Naturkork,Alsace,Frankrike,Domaine Weinbach,Prime Wine Sweden AB,2015,,14.00%,TSE,Små partier,0,0,,0,Riesling.
8560601,1118811,85606,Karlssons Gold Vodka,,401.00,,700.00,572.86,2016/07/20,0,Okryddad sprit,,,Flaska,,,Sverige,Spirits of Gold AB,Grapes Svenska AB,,,40.00%,BS,Övrigt sortiment,0,0,,0,
7235101,1118838,72351,Bennati,Valpolicella Ripasso Superiore,131.00,,750.00,174.67,2016/07/29,0,Rött vin,,,Flaska,,Venetien,Italien,Casa Vinicola Bennati,Concealed Wines AB,2014,,14.00%,BS,Övrigt sortiment,0,0,,0,
7453301,1118855,74533,Antiyal,,449.00,,750.00,598.67,2016/07/13,0,Rött vin,,,Flaska,,Maipo,Chile,Antiyal,WineWorld AB,2013,,14.50%,BS,Övrigt sortiment,1,0,,0,
7077901,1118882,70779,Amarone della Valpolicella,Bennati,230.00,,750.00,306.67,2016/07/29,0,Rött vin,,,Flaska,,Venetien,Italien,Casa Vinicola Bennati,Concealed Wines AB,2012,,15.00%,BS,Övrigt sortiment,0,0,,0,
7173401,1118971,71734,Vigna Martina,Isimbarda, Riesling,160.00,,750.00,213.33,2016/07/30,0,Vitt vin,,,Flaska,,Lombardiet,Italien,Isimbarda,Castore Sweden AB,2014,,13.50%,BS,Övrigt sortiment,0,0,,0,
7529701,1118974,75297,Villa Yambol,Rosé,39.00,,750.00,52.00,2016/07/29,0,Rosévin,Fruktigt & Smakrikt,,Flaska,,Trakien,Bulgarien,Villa Yambol,Fondberg,2014,,13.50%,BS,Övrigt sortiment,0,0,,0,
9204102,1118977,92041,Riesling Schlossberg,Grand Cru,249.00,,375.00,664.00,2017/02/03,0,Vitt vin,,,Flaska,Naturkork,Alsace,Frankrike,Domaine Weinbach,Prime Wine Sweden AB,2015,,14.00%,TSE,Små partier,0,0,,0,
9042701,1118990,90427,Cuvée Ste Catherine,Riesling Schlossberg Grand Cru,529.00,,750.00,705.33,2017/02/03,0,Vitt vin,,,Flaska,Naturkork,Alsace,Frankrike,Domaine Weinbach,Prime Wine Sweden AB,2015,,13.50%,TSE,Små partier,0,0,,0,Riesling.
152601,1119,1526,Weihenstephaner,Hefe Weissbier,23.50,,500.00,47.00,1991/05/06,0,Öl,Veteöl,Hefeweizen,Flaska,,,Tyskland,Weihenstephan,Galatea AB,,,5.40%,FS,Ordinarie sortiment,0,0,,0,Korn- och vetemalt och humle.
7944101,1119010,79441,Adelsheim,Willamette Vineyard Pinot Noir,318.00,,750.00,424.00,2016/07/30,0,Rött vin,,,Flaska,,Oregon,USA,Adelsheim Vineyard,Göteborgs Vinhandelshus AB,2015,,13.50%,BS,Övrigt sortiment,0,0,,0,
7885909,1119046,78859,Tuscany Tasting Box,,960.00,,4500.00,213.33,2016/08/01,0,Vin av flera typer,,,6 fl à 750 ml,,,Varierande ursprung,Flera producenter,AB Wicked Wine Sweden,,,14.00%,BS,Övrigt sortiment,0,0,,0,
7989801,1119183,79898,Jamart,Cuvée Volupté Brut,390.00,,750.00,520.00,2016/08/01,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Champagne E. Jamart & Cie,Kim Wallqvist Vinhandel,,,12.00%,BS,Övrigt sortiment,0,0,,0,
7598901,1119186,75989,Chemin des Sables,,69.00,,750.00,92.00,2016/08/08,0,Rosévin,Friskt & Bärigt,,Flaska,,Languedoc-Roussillon,Frankrike,Les Grands Chais de France,Apricot AB,2016,,12.50%,BS,Övrigt sortiment,0,0,,0,
9214001,1119198,92140,Barbeito Malvasia Colheita,,396.00,,500.00,792.00,2016/11/18,0,Madeira,Malvoisie/Malmsey,,Flaska,,Madeira,Portugal,Vinhos Barbeito,Vinopia Wine & Spirit AB,2005,,19.00%,TSE,Små partier,0,0,,0,
7877401,1119218,78774,Jamart,Cuvée Reservé Brut,362.00,,750.00,482.67,2016/08/02,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Champagne E. Jamart & Cie,Kim Wallqvist Vinhandel,,,12.00%,BS,Övrigt sortiment,0,0,,0,
7829001,1119241,78290,Jamart,Cuvée Tentation Extra Brut,454.00,,750.00,605.33,2016/08/02,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Champagne E. Jamart & Cie,Kim Wallqvist Vinhandel,,,12.00%,BS,Övrigt sortiment,0,0,,0,
8814415,1119244,88144,New Belgium,Voodoo Ranger India Pale Ale,29.90,1.00,355.00,84.23,2016/08/01,0,Öl,Ale brittisk-amerikansk stil,India pale ale (IPA),Burk,,,Belgien,New Belgium Brewing Co.,Galatea AB,,,7.00%,BS,Övrigt sortiment,0,0,,0,
8923203,1119542,89232,Stillwater,Why can''t IBU?,34.90,,355.00,98.31,2016/08/01,0,Öl,Ale brittisk-amerikansk stil,India pale ale (IPA),Flaska,,,USA,Stillwater Artisanal Ales,Cask Sweden AB,,,5.70%,BS,Övrigt sortiment,0,0,,0,
7793608,1119676,77936,Hatt et Söner,Grande Cuveé Brut Blanc des Blancs,5700.00,,6000.00,950.00,2016/07/19,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Hatt et Söner,HATT et söner AB,,,12.00%,BS,Övrigt sortiment,0,0,,0,
8583402,1119686,85834,Copperhead,London Dry Gin,469.00,,500.00,938.00,2016/07/31,0,Gin,,,Flaska,,,Belgien,Copperhead NV,Renbjer & Magnusson AB,,,40.00%,BS,Övrigt sortiment,0,0,,0,
7255901,1119927,72559,Buena Pinta,,159.00,,750.00,212.00,2016/08/02,0,Rött vin,,,Flaska,,Manchuela,Spanien,Bodegas y Viñedos Ponce,Quaffable Wines Sweden AB,2015,,12.50%,BS,Övrigt sortiment,0,0,,0,
